Périmètre;Nature;Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Ech. comm. Angleterre;Ech. comm. Espagne;Ech. comm. Italie;Ech. comm. Suisse;Ech. comm. Allemagne-Belgique;Fioul - TAC;Fioul - Cogén.;Fioul - Autres;Gaz - TAC;Gaz - Cogén.;Gaz - CCG;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz; Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;
France;Données temps réel;2025-01-01;00:00;63949;64000;64200;107;0;2273;49129;10887;0;5387;-2199;911;-2534;22;2514;-2341;-3111;-3200;6662;0;110;0;0;1643;631;0;4482;525;380;296;363;252;-3;1;9503;1384;
France;Données temps réel;2025-01-01;00:15;63954;63350;63650;108;0;2094;47071;10944;0;5342;-2390;894;-93;21;2514;-2341;-3111;-3200;6662;0;110;0;0;1642;453;0;4397;747;198;302;342;250;-10;2;9587;1356;
France;Données temps réel;2025-01-01;00:30;62870;62700;63100;108;0;2034;45763;11076;0;5322;-2394;895;83;21;2514;-2341;-3111;-3200;6451;0;110;0;0;1644;392;0;4386;740;195;302;343;250;-12;1;9712;1364;
France;Données temps réel;2025-01-01;00:45;61522;61900;62200;111;0;1949;45084;11111;0;5230;-2390;914;-470;21;2514;-2341;-3111;-3200;6451;1;110;0;0;1557;393;0;4412;688;131;299;363;252;-10;1;9736;1375;
France;Données temps réel;2025-01-01;01:00;61115;61100;61300;110;0;1764;44609;11239;0;5224;-2398;911;-324;20;2483;-2341;-3111;-3200;5971;0;110;0;0;1555;210;0;4411;688;126;298;361;252;-11;1;9877;1362;
France;Données temps réel;2025-01-01;01:15;61421;61350;61650;111;0;1764;44720;11373;0;5366;-2397;912;-405;20;2483;-2341;-3111;-3200;5971;1;110;0;0;1555;210;0;4339;747;280;300;360;252;-18;1;9996;1378;
France;Données temps réel;2025-01-01;01:30;61062;61600;62000;110;0;1766;44460;11516;0;5303;-2389;911;-591;20;2483;-2341;-3111;-3200;5973;0;110;0;0;1555;212;0;4317;704;282;298;362;252;-18;1;10132;1384;
France;Données temps réel;2025-01-01;01:45;60939;61450;61850;111;0;1816;44379;11471;0;5261;-2390;906;-591;20;2483;-2341;-3111;-3200;5973;1;110;0;0;1556;261;0;4265;750;246;293;361;252;-17;1;10092;1378;
France;Données temps réel;2025-01-01;02:00;60629;61300;61700;111;0;1645;44457;11519;0;5288;-2413;912;-867;19;2283;-2341;-3111;-3200;5774;1;110;0;0;1556;90;0;4297;753;238;298;362;252;-17;1;10150;1369;
France;Données temps réel;2025-01-01;02:15;60995;60500;61000;111;0;1653;44538;11577;0;5054;-2854;907;-20;19;2283;-2341;-3111;-3200;5774;1;110;0;0;1489;165;0;4257;739;58;296;359;252;-1;36;10192;1386;
France;Données temps réel;2025-01-01;02:30;60057;59700;60300;111;0;1640;44276;11559;0;4970;-2852;908;-558;19;2283;-2341;-3111;-3200;5413;1;110;0;0;1488;153;0;4251;685;35;298;359;252;-2;13;10172;1387;
France;Données temps réel;2025-01-01;02:45;59372;58750;59550;110;0;1599;43933;11684;0;4877;-2853;910;-909;19;2283;-2341;-3111;-3200;5413;0;110;0;0;1489;112;0;4206;670;1;294;365;252;-1;28;10312;1372;
France;Données temps réel;2025-01-01;03:00;58594;57800;58800;110;0;1630;43180;11698;0;4658;-2855;907;-739;20;2386;-2341;-3106;-3200;5180;0;110;0;0;1488;144;0;4202;455;1;292;363;252;-3;16;10326;1372;
France;Données temps réel;2025-01-01;03:15;58212;57100;58350;110;0;1605;43204;11842;0;4373;-2925;907;-935;20;2386;-2341;-3106;-3200;5180;0;110;0;0;1489;117;0;4165;208;0;295;360;252;-1;39;10473;1370;
France;Données temps réel;2025-01-01;03:30;57580;56400;57900;110;0;1592;42676;11900;0;4321;-3000;904;-916;20;2386;-2341;-3106;-3200;5020;0;110;0;0;1488;105;0;4116;205;0;296;357;252;-4;4;10513;1387;
France;Données temps réel;2025-01-01;03:45;56915;55800;57250;111;0;1652;42228;11928;0;4313;-2995;905;-1218;20;2386;-2341;-3106;-3200;5020;1;110;0;0;1488;165;0;4107;206;0;297;357;252;-5;4;10535;1393;
France;Données temps réel;2025-01-01;04:00;56345;55200;56600;111;0;1632;42091;12012;0;4259;-2989;910;-1674;20;2333;-2400;-3111;-3200;5560;1;110;0;0;1490;143;0;4048;211;0;300;358;252;-5;5;10599;1413;
France;Données temps réel;2025-01-01;04:15;56232;54700;56350;111;0;1629;41369;12113;0;4157;-3217;908;-808;20;2333;-2400;-3111;-3200;5560;1;110;0;0;1488;142;0;3947;211;0;297;359;252;-24;1;10695;1417;
France;Données temps réel;2025-01-01;04:30;55709;54200;56100;111;0;1638;41090;12125;0;4072;-3217;905;-983;21;2333;-2400;-3111;-3200;5416;1;110;0;0;1489;149;0;3870;201;0;295;358;252;-25;1;10711;1414;
France;Données temps réel;2025-01-01;04:45;55383;54100;55900;110;0;1649;40871;12182;0;3991;-3219;906;-1076;21;2333;-2400;-3111;-3200;5416;0;110;0;0;1488;163;0;3789;201;0;296;359;252;-25;1;10765;1417;
France;Données temps réel;2025-01-01;05:00;55431;54000;55700;111;0;1590;40922;12303;0;4088;-3208;907;-1251;20;2513;-2400;-3111;-3200;4465;1;110;0;0;1490;101;0;3750;337;1;297;359;252;-25;1;10905;1397;
France;Données temps réel;2025-01-01;05:15;55750;53900;55700;110;0;1620;41430;12443;0;4201;-2903;910;-2036;20;2513;-2400;-3111;-3200;4465;0;110;0;0;1500;121;0;3772;428;1;296;363;252;-18;1;11031;1412;
France;Données temps réel;2025-01-01;05:30;55453;53800;55700;111;0;1659;41032;12459;0;4213;-2907;909;-1999;21;2513;-2400;-3111;-3200;4533;1;110;0;0;1499;161;0;3788;425;0;296;362;252;-19;1;11038;1421;
France;Données temps réel;2025-01-01;05:45;55479;53650;55700;110;0;1684;40859;12559;0;4175;-2911;908;-1881;21;2513;-2400;-3111;-3200;4533;0;110;0;0;1500;185;0;3747;428;0;294;362;252;-18;1;11136;1424;
France;Données temps réel;2025-01-01;06:00;55508;53500;55700;110;0;1625;40963;12794;0;4114;-2979;907;-2001;20;2512;-2544;-3111;-3197;4370;0;110;0;0;1499;126;0;3730;384;0;295;361;252;-19;1;11370;1423;
France;Données temps réel;2025-01-01;06:15;56160;53800;56050;110;0;1620;41605;12944;0;4134;-3217;906;-1945;20;2512;-2544;-3111;-3197;4370;0;110;0;0;1499;122;0;3751;383;0;295;360;252;-5;16;11510;1435;
France;Données temps réel;2025-01-01;06:30;56124;54100;56400;111;0;1668;41599;13140;0;4085;-3206;901;-2178;20;2512;-2544;-3111;-3197;4441;1;110;0;0;1499;170;0;3783;303;0;291;359;252;-5;16;11708;1432;
France;Données temps réel;2025-01-01;06:45;56287;54100;56550;110;0;1646;41578;13284;0;4098;-3207;906;-2130;20;2512;-2544;-3111;-3197;4441;0;110;0;0;1500;147;0;3857;240;1;296;359;252;-6;16;11847;1437;
France;Données temps réel;2025-01-01;07:00;56469;54100;56700;110;0;1620;41358;13499;0;4129;-3210;903;-1941;20;2514;-2544;-3096;-3200;4759;0;110;0;0;1499;123;0;3888;241;0;292;359;252;-7;16;12063;1436;
France;Données temps réel;2025-01-01;07:15;56665;54200;56850;111;0;1834;40892;13670;0;4213;-3139;908;-1833;21;2514;-2544;-3096;-3200;4759;1;110;0;0;1673;162;0;3924;289;0;297;359;252;-4;20;12233;1437;
France;Données temps réel;2025-01-01;07:30;56701;54300;57000;110;0;1880;40610;13704;0;4332;-3139;908;-1711;22;2514;-2544;-3096;-3200;4790;0;110;0;0;1673;208;0;3961;372;0;297;360;252;-4;20;12266;1438;
France;Données temps réel;2025-01-01;07:45;56714;54350;57150;111;0;1860;40684;13854;0;4188;-3138;907;-1761;22;2514;-2544;-3096;-3200;4790;1;110;0;0;1674;186;0;3858;331;0;296;360;252;-4;20;12417;1437;
France;Données temps réel;2025-01-01;08:00;57279;54400;57300;111;0;1839;41007;13886;298;4219;-3140;908;-1862;21;1845;-2544;-3381;-3200;3985;1;110;0;0;1672;168;0;3870;349;0;298;359;252;-2;21;12450;1436;
France;Données temps réel;2025-01-01;08:15;57105;54250;57250;111;0;1866;41519;14036;343;4211;-3100;908;-2772;21;1845;-2544;-3381;-3200;3985;1;110;0;0;1670;197;0;3869;246;96;296;361;252;-10;1;12601;1435;
France;Données temps réel;2025-01-01;08:30;57211;54100;57200;111;0;1880;41826;14116;401;4226;-3105;912;-3140;21;1845;-2544;-3381;-3200;3794;1;110;0;0;1670;211;0;3885;245;96;299;361;252;-11;1;12678;1438;
France;Données temps réel;2025-01-01;08:45;57361;54150;57250;109;0;1867;42122;14255;476;4165;-3111;913;-3415;21;1845;-2544;-3381;-3200;3794;0;110;0;0;1670;198;0;3918;247;0;302;359;252;-12;1;12817;1438;
France;Données temps réel;2025-01-01;09:00;57322;54200;57300;110;0;1851;42114;14505;620;4338;-3114;914;-3998;21;1558;-2300;-3409;-3200;2935;0;110;0;0;1670;181;0;3914;324;100;302;360;252;-12;1;13067;1438;
